product_name,Armani Luminous Foundation,BYOMA Moisturizing Rich Cream,Clinique Dramatically Different Moisturizing Lotion+,Dior Forever Skin Glow,Drunk Elephant Lala Retro Whipped Moisturizer,Estée Lauder Double Wear,Estée Lauder Revitalizing Supreme+ Global Anti-Aging Cream,Fenty Pro Filt'r Soft Matte Foundation,Kiehl’s Ultra Facial Moisturizing Cream with Squalane,Lancôme Rénergie H.P.N. 300-Peptide Cream,Lancôme Teint Idole Ultra Wear Foundation,NARS Light Reflecting Foundation
Armani Luminous Foundation,1.0000000000000002,0.12777200365335248,0.11601588907058688,0.7405444758741909,0.12777200365335248,0.3140746879111258,0.20695018824507927,0.2649725674531035,0.21481879523397904,0.20695018824507927,0.44069414165450704,0.5974221024864242
BYOMA Moisturizing Rich Cream,0.12777200365335248,1.0000000000000002,0.3787108393418467,0.07163443826447966,0.5741359359048839,0.050524703718263494,0.3341312003854417,0.019499612668539036,0.34683545120472004,0.3341312003854417,0.17031770825934428,0.05778990744327677
Clinique Dramatically Different Moisturizing Lotion+,0.11601588907058688,0.3787108393418467,0.9999999999999999,0.06504345870534231,0.3787108393418467,0.04587599986148083,0.30338827889173775,0.017705481917699255,0.48284320858254026,0.30338827889173775,0.1546470258209355,0.05247274285162051
Dior Forever Skin Glow,0.7405444758741909,0.07163443826447966,0.06504345870534231,1.0000000000000002,0.07163443826447966,0.35543799069922766,0.2948690693598248,0.299869173133103,0.30608050550129573,0.2948690693598248,0.4987330920055656,0.6761019588027759
Drunk Elephant Lala Retro Whipped Moisturizer,0.12777200365335248,0.5741359359048839,0.3787108393418467,0.07163443826447966,1.0000000000000002,0.050524703718263494,0.3341312003854417,0.019499612668539036,0.34683545120472004,0.3341312003854417,0.17031770825934428,0.05778990744327677
Estée Lauder Double Wear,0.3140746879111258,0.050524703718263494,0.04587599986148083,0.35543799069922766,0.050524703718263494,1.0000000000000002,0.10680688596889566,0.4304647132701066,0.1108678699985512,0.10680688596889566,0.3892261370833957,0.28674376573589844
Estée Lauder Revitalizing Supreme+ Global Anti-Aging Cream,0.20695018824507927,0.3341312003854417,0.30338827889173775,0.2948690693598248,0.3341312003854417,0.10680688596889566,1.0000000000000002,0.022120874053172854,0.7535756026956866,0.7259728491862594,0.24814298578743743,0.12216519049503965
Fenty Pro Filt'r Soft Matte Foundation,0.2649725674531035,0.019499612668539036,0.017705481917699255,0.299869173133103,0.019499612668539036,0.4304647132701066,0.022120874053172854,0.9999999999999999,0.02296194825393288,0.022120874053172854,0.5392463888820755,0.24191453413053207
Kiehl’s Ultra Facial Moisturizing Cream with Squalane,0.21481879523397904,0.34683545120472004,0.48284320858254026,0.30608050550129573,0.34683545120472004,0.1108678699985512,0.7535756026956866,0.02296194825393288,1.0,0.7535756026956866,0.2575778147613604,0.1268101240410346
Lancôme Rénergie H.P.N. 300-Peptide Cream,0.20695018824507927,0.3341312003854417,0.30338827889173775,0.2948690693598248,0.3341312003854417,0.10680688596889566,0.7259728491862594,0.022120874053172854,0.7535756026956866,1.0000000000000002,0.24814298578743743,0.12216519049503965
Lancôme Teint Idole Ultra Wear Foundation,0.44069414165450704,0.17031770825934428,0.1546470258209355,0.4987330920055656,0.17031770825934428,0.3892261370833957,0.24814298578743743,0.5392463888820755,0.2575778147613604,0.24814298578743743,1.0000000000000002,0.40234473703121487
NARS Light Reflecting Foundation,0.5974221024864242,0.05778990744327677,0.05247274285162051,0.6761019588027759,0.05778990744327677,0.28674376573589844,0.12216519049503965,0.24191453413053207,0.1268101240410346,0.12216519049503965,0.40234473703121487,1.0000000000000002
